CAGR,STDev,LVMUY,CELH,AMZN,PANW,WDC,SNAP,TSLA,MU,GSK,MRK,GD,LMT,NOC,RTN,BA,MDR,XOM,PXD,ARCH,CL,NGG,VZ,BAX,FMS,SHY,IAU,UUP,NLY,MINT
-0.1129,0.2068,0.0015,0.0185,0.0015,0.0015,0.0425,0.0015,0.0015,0.0015,0.05,0.05,0.0015,0.0015,0.01596581,0.0015,0.0015,0.03803419,0.047,0.0015,0.0015,0.025,0.015,0.015,0.015,0.05,0.305,0.1,0.005,0.01,0.18
-0.0993,0.2117,0.0015,0.0185,0.0015,0.0015,0.039283067,0.004716933,0.0015,0.0015,0.05,0.05,0.005772156,0.00930498,0.03178032,0.0015,0.0015,0.01014254,0.047,0.0015,0.0015,0.01743802,0.02304675,0.015,0.015,0.04951522,0.305,0.1,0.01,0.005,0.18
-0.0838,0.2131,0.0015,0.0185,0.0015,0.0015,0.036089351,0.007910649,0.0015,0.0015,0.05,0.05,0.0015,0.02286381,0.02220655,0.010429642,0.0015,0.0015,0.038642704,0.0015,0.009857296,0.01978546,0.05,0.015,0.015,0.02021454,0.3,0.1,0.015,0.005,0.18
-0.0658,0.2183,0.0015,0.0185,0.0015,0.01811959,0.021392444,0.005987964,0.0015,0.0015,0.05,0.05,0.0015,0.03009113,0.01834499,0.007063879,0.0015,0.0015,0.034539005,0.0015,0.013960995,0.01615861,0.05,0.02384139,0.015,0.015,0.3,0.1,0.015,0.005,0.18
-0.0478,0.225,0.0015,0.0185,0.0015,0.03748672,0.004489521,0.003523755,0.0015,0.0015,0.05,0.05,0.0015,0.03830392,0.01569608,0.0015,0.0015,0.0015,0.031320262,0.0015,0.017179738,0.015,0.04294015,0.03205985,0.015,0.015,0.3,0.1,0.015,0.005,0.18
-0.0296,0.2045,0.01357437,0.006425633,0.0015,0.0425,0.0015,0.0015,0.0015,0.0015,0.05,0.05,0.0015,0.0307076,0.0015,0.0015,0.0232924,0.0015,0.006234858,0.0015,0.042265142,0.015,0.025,0.05,0.015,0.015,0.3,0.1,0.015,0.005,0.18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Timeframe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start,2/1/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End,1/4/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
